adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genre_names
False,/6bGmHzPEq2n6g17moqWwDpJBEom.jpg,"[27, 9648, 53]",1041613,en,Immaculate,"An American nun embarks on a new journey when she joins a remote convent in the Italian countryside. However, her warm welcome quickly turns into a living nightmare when she discovers her new home harbours a sinister secret and unspeakable horrors.",151.763,/fdZpvODTX5wwkD0ikZNaClE4AoW.jpg,2024-03-20,Immaculate,False,6.298,1130,"['Horror', 'Mystery', 'Thriller']"
False,/pvE13VXj7WvTDYkng3tTWOTO6Nq.jpg,"[28, 80, 53]",1151949,id,The Shadow Strays,"Skilled in the art of killing, a young assassin defies her mentor to save a boy from a ruthless crime syndicate — and she'll destroy anyone in her path.",350.875,/cfkcrKySRyJiIdLo6c6kNSyLFh7.jpg,2024-09-10,The Shadow Strays,False,7.3,75,"['Action', 'Crime', 'Thriller']"
False,/r9oTasGQofvkQY5vlUXglneF64Z.jpg,"[28, 35]",1029575,en,The Family Plan,"Dan Morgan is many things: a devoted husband, a loving father, a celebrated car salesman. He's also a former assassin. And when his past catches up to his present, he's forced to take his unsuspecting family on a road trip unlike any other.",167.198,/jLLtx3nTRSLGPAKl4RoIv1FbEBr.jpg,2023-12-14,The Family Plan,False,7.3,1342,"['Action', 'Comedy']"
False,/blqiNjJefmY10Wx6y2vgJJWljJj.jpg,"[28, 53]",949484,en,Hounds of War,"After a mission goes wrong, only one of a group of mercenaries is left alive to avenge his fallen brothers.",248.231,/lRBT73EWsiQPuqK3YS3BnBW0Zwi.jpg,2024-08-29,Hounds of War,False,6.5,94,"['Action', 'Thriller']"
False,/bizhlTVjifYQUu4Xrdt7m3TYr7d.jpg,"[27, 80]",1226578,en,Longlegs,"FBI Agent Lee Harker is assigned to an unsolved serial killer case that takes an unexpected turn, revealing evidence of the occult. Harker discovers a personal connection to the killer and must stop him before he strikes again.",257.887,/5aj8vVGFwGVbQQs26ywhg4Zxk2L.jpg,2024-05-31,Longlegs,False,6.7,1112,"['Horror', 'Crime']"
False,/jivdJHBmHkR7CiuULWXVZmGlVfn.jpg,"[27, 9648, 53]",1086747,en,The Watchers,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night.",175.038,/vThCMjUvX6UBmtTscYwo9GUiBUY.jpg,2024-06-06,The Watchers,False,6.484,965,"['Horror', 'Mystery', 'Thriller']"
False,/yRKyJJYIzfeiVDHBe4LXguPQCvD.jpg,"[14, 35]",4011,en,Beetlejuice,A newly dead New England couple seeks help from a deranged demon exorcist to scare an affluent New York family out of their home.,255.344,/nnl6OWkyPpuMm595hmAxNW3rZFn.jpg,1988-03-30,Beetlejuice,False,7.382,7385,"['Fantasy', 'Comedy']"
False,/f7Qwg7kKNIvBnr3Ipv2bpXb23BN.jpg,"[27, 9648, 878, 53]",1024721,en,Monolith,"A desperate young journalist turns to podcasting to salvage her career, but her rush to make headlines leads her to an alien conspiracy.",146.335,/zKpLzzX1va6gkMJiI9p3DudqChe.jpg,2023-10-26,Monolith,False,5.929,105,"['Horror', 'Mystery', 'Science Fiction', 'Thriller']"
False,/45kRTSFsRqOmmkSVJjgOE0XVPEQ.jpg,[27],1317218,en,Mr. Crocket,"A single mother thinks she's found the key to calming her child down – a VHS copy of a strange children's program named Mr. Crocket's World. However, a darker, bloodier secret waits to invade their home from inside the tape.",235.583,/t5TV6Y8yKZXTtg8Abf4uBGVH9mD.jpg,2024-09-26,Mr. Crocket,False,4.8,36,['Horror']
False,/h9YlRHAZWOWtGonllmj6JJg1FrE.jpg,"[28, 12, 16, 10751, 14]",588648,zh,Dragonkeeper,"Set in Han Imperial China, the plot follows the adventures of enslaved girl Ping with ancient dragon Long Danzi. Dragons had been banished from the kingdom. Ping, an orphan, finds one of the last remaining dragon eggs. Palace guards force Ping to run away in order to return the dragon egg to the ocean and save all dragons from extinction. Ping discovers that she is a true Dragonkeeper.",237.261,/ggZGnJLzO3BTu7ysuuIzou3Oex5.jpg,2024-04-11,Dragonkeeper,False,7.3,114,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy']"
False,/mgY8An5qVCgLh97KOWeJVJarskL.jpg,"[18, 10749, 53]",216015,en,Fifty Shades of Grey,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.",181.319,/63kGofUkt1Mx0SIL4XI4Z5AoSgt.jpg,2015-02-11,Fifty Shades of Grey,False,5.9,11686,"['Drama', 'Romance', 'Thriller']"
False,/cCBdL7v7msKHE0T5lPbaAY8GTJ5.jpg,[27],231001,en,All Hallows' Eve,"While watching two children on Halloween night, a babysitter finds an old VHS tape in the kids' trick or treat bag. The tape features three tales of terror, all linked together by a murderous clown.",261.048,/bSe8CBqK8HkbP6sqZWzcJfQV9Ci.jpg,2013-10-29,All Hallows' Eve,False,5.7,456,['Horror']
False,/g2DncwuglwXBpqX2TNKZh7v9iJy.jpg,[28],239241,ja,くノ一忍法帖II 聖少女の秘宝,The Shogun wants a large shipment of gold that the Catholic church sent to help Christianity get a foothold in Japan and the secret to its location is written on five bells hidden in the vaginas of five female ninjas.,315.199,/fLXSe7VuB630VoJ39lTPCiwFoXq.jpg,1992-08-21,Female Ninjas Magic Chronicles 2: Secret of the Christian Bells,False,7.0,1,['Action']
False,/bEJyUUygNSLhe4BPykEHf3hPnsh.jpg,"[28, 53]",1145491,en,Operation Black Ops,"A group of mercenaries are hired to overthrow a Neo-Nazi stronghold nestled deep in the heart of Texas, only to discover they are protecting nuclear codes that could ignite World War III.",330.569,/vMgkjQM2fHirExilsTZWJTqL33G.jpg,2023-07-11,Operation Black Ops,False,5.7,23,"['Action', 'Thriller']"
False,/Al127H6f1RXpESdg0MGNL2g8mzO.jpg,"[16, 35, 878]",1359227,en,LEGO Marvel Avengers: Mission Demolition,"A young, aspiring hero and superhero fan inadvertently unleashes a powerful new villain looking to rid the world of the Avengers.",329.869,/k3LGf9afqmUZiAJ9nffBinpOhOI.jpg,2024-10-17,LEGO Marvel Avengers: Mission Demolition,False,7.5,11,"['Animation', 'Comedy', 'Science Fiction']"
False,/auXrHU6O17n9Tz11SHReoorjrU6.jpg,"[16, 35, 10751]",1075794,en,Leo,"Jaded 74-year-old lizard Leo has been stuck in the same Florida classroom for decades with his terrarium-mate turtle. When he learns he only has one year left to live, he plans to escape to experience life on the outside but instead gets caught up in the problems of his anxious students — including an impossibly mean substitute teacher.",141.028,/pD6sL4vntUOXHmuvJPPZAgvyfd9.jpg,2023-11-17,Leo,False,7.5,1136,"['Animation', 'Comedy', 'Family']"
False,/fK5ssgvtI43z19FoWigdlqgpLRE.jpg,"[16, 10751, 878]",10681,en,WALL·E,"What if mankind had to leave Earth and somebody forgot to turn the last robot off? After hundreds of years doing what he was built for, WALL•E discovers a new purpose in life when he meets a sleek search robot named EVE. EVE comes to realize that WALL•E has inadvertently stumbled upon the key to the planet's future, and races back to space to report to the humans. Meanwhile, WALL•E chases EVE across the galaxy and sets into motion one of the most imaginative adventures ever brought to the big screen.",140.818,/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg,2008-06-22,WALL·E,False,8.092,18652,"['Animation', 'Family', 'Science Fiction']"
False,/k0hlAzTryCYX1O1LyC6P8tAa8s0.jpg,"[28, 12, 878]",102382,en,The Amazing Spider-Man 2,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",155.453,/kV61FAIsRWZP6JhgWFOKug9RbBx.jpg,2014-04-16,The Amazing Spider-Man 2,False,6.511,13133,"['Action', 'Adventure', 'Science Fiction']"
False,/eEDtm4wqyftSHq8QULUUCl8pNHE.jpg,"[16, 12, 10751, 35]",1241982,en,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",297.112,/yh64qw9mgXBvlaWDi7Q9tpUBAvH.jpg,2024-11-27,Moana 2,False,0.0,0,"['Animation', 'Adventure', 'Family', 'Comedy']"
False,/tG8QWDASd8rw0JxkDN2MDDWLEse.jpg,"[18, 10749, 35]",1064213,en,Anora,"Anora, a young sex worker from Brooklyn, gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as the parents set out for New York to get the marriage annulled.",156.428,/nGUUQAsnW5bmSjBNao8vXlK0QMK.jpg,2024-10-11,Anora,False,7.173,26,"['Drama', 'Romance', 'Comedy']"
False,/9utq8PrMyvFBtlte2BDNaj1ktSi.jpg,"[12, 10751]",1088563,de,Lassie - Ein neues Abenteuer,"Flo and his trusted Collie pal Lassie spend the summer at Aunt Cosma's, alongside her foster children Kleo and Henry, and her dog Pippa. When local canines start disappearing, including Pippa, Lassie rallies the kids to solve the mystery.",162.578,/jGFcaPyEMK25fIs5BSAHrKsi2Q8.jpg,2023-07-27,Lassie: A New Adventure,False,6.417,12,"['Adventure', 'Family']"
False,/dn3gbDpXPSwC6saMJOHkCiFA9jn.jpg,"[14, 12, 10751, 35]",974262,en,Descendants: The Rise of Red,"After the Queen of Hearts incites a coup on Auradon, her rebellious daughter Red and Cinderella's perfectionist daughter Chloe join forces and travel back in time to try to undo the traumatic event that set Red's mother down her villainous path.",232.83,/8fYluTtB3b3HKO7KQa5tzrvGaps.jpg,2024-07-11,Descendants: The Rise of Red,False,7.0,350,"['Fantasy', 'Adventure', 'Family', 'Comedy']"
False,/uAqmhZn3jNn0RaSoi3uWToWcXmu.jpg,"[16, 12, 28, 14]",1147416,fr,"Miraculous World : Londres, la course contre le temps","Marinette, now Chronobug, and Bunnyx must save the future by resolving the mystery of who dicovered Marinette's identity as Ladybug, when, and how they stole her Miraculous. Throughout the adventure, they learn that the Butterfly Miraculous has a new holder, the one who unraveled the ultimate secret. Ladybug's only hope is to defeat her opponent to prevent the end of Ladybug.",206.911,/g4ShHhp0WOnVlpaOo3A8pKQlj3r.jpg,2024-10-05,"Miraculous World, London: At the Edge of Time",False,7.0,27,"['Animation', 'Adventure', 'Action', 'Fantasy']"
